id	names	class
GO:0000001	mitochondrion inheritance	BP
GO:0000002	mitochondrial genome maintenance	BP
GO:0000003	reproduction	BP
GO:0000006	high affinity zinc transmembrane transporter activity	MF
GO:0000007	low affinity zinc ion transmembrane transporter activity	MF
GO:0000009	alpha 1 6 mannosyltransferase activity	MF
GO:0000010	trans hexaprenyltranstransferase activity	MF
GO:0000011	vacuole inheritance	BP
GO:0000012	single strand break repair	BP
GO:0000014	single stranded dna endodeoxyribonuclease activity	MF
GO:0000015	phosphopyruvate hydratase complex	CC
GO:0000016	lactase activity	MF
GO:0000017	alpha glucoside transport	BP
GO:0000018	regulation of dna recombination	BP
GO:0000019	regulation of mitotic recombination	BP
GO:0000022	mitotic spindle elongation	BP
GO:0000023	maltose metabolic process	BP
GO:0000024	maltose biosynthetic process	BP
GO:0000025	maltose catabolic process	BP
GO:0000026	alpha 1 2 mannosyltransferase activity	MF
GO:0000027	ribosomal large subunit assembly	BP
GO:0000028	ribosomal small subunit assembly	BP
GO:0000030	mannosyltransferase activity	MF
GO:0000031	mannosylphosphate transferase activity	MF
GO:0000032	cell wall mannoprotein biosynthetic process	BP
GO:0000033	alpha 1 3 mannosyltransferase activity	MF
GO:0000034	adenine deaminase activity	MF
GO:0000035	acyl binding	MF
GO:0000036	acyl carrier activity	MF
GO:0000038	very long chain fatty acid metabolic process	BP
GO:0000041	transition metal ion transport	BP
GO:0000045	autophagosome assembly	BP
GO:0000048	peptidyltransferase activity	MF
GO:0000049	trna binding	MF
GO:0000050	urea cycle	BP
GO:0000052	citrulline metabolic process	BP
GO:0000053	argininosuccinate metabolic process	BP
GO:0000054	ribosomal subunit export from nucleus	BP
GO:0000055	ribosomal large subunit export from nucleus	BP
GO:0000056	ribosomal small subunit export from nucleus	BP
GO:0000062	fatty acyl coa binding	MF
GO:0000064	l ornithine transmembrane transporter activity	MF
GO:0000070	mitotic sister chromatid segregation	BP
GO:0000073	mitotic spindle pole body separation	BP
GO:0000075	cell cycle checkpoint	BP
GO:0000076	dna replication checkpoint	BP
GO:0000077	dna damage checkpoint	BP
GO:0000079	regulation of cyclin dependent protein serine threonine kinase activity	BP
GO:0000080	mitotic g1 phase	BP
GO:0000082	g1 s transition of mitotic cell cycle	BP
GO:0000083	regulation of transcription involved in g1 s transition of mitotic cell cycle	BP
GO:0000084	mitotic s phase	BP
GO:0000085	mitotic g2 phase	BP
GO:0000086	g2 m transition of mitotic cell cycle	BP
GO:0000087	mitotic m phase	BP
GO:0000088	mitotic prophase	BP
GO:0000089	mitotic metaphase	BP
GO:0000090	mitotic anaphase	BP
GO:0000091	mitotic anaphase a	BP
GO:0000092	mitotic anaphase b	BP
GO:0000093	mitotic telophase	BP
GO:0000095	s adenosyl l methionine transmembrane transporter activity	MF
GO:0000096	sulfur amino acid metabolic process	BP
GO:0000097	sulfur amino acid biosynthetic process	BP
GO:0000098	sulfur amino acid catabolic process	BP
GO:0000099	sulfur amino acid transmembrane transporter activity	MF
GO:0000100	s methylmethionine transmembrane transporter activity	MF
GO:0000101	sulfur amino acid transport	BP
GO:0000102	l methionine secondary active transmembrane transporter activity	MF
GO:0000103	sulfate assimilation	BP
GO:0000104	succinate dehydrogenase activity	MF
GO:0000105	histidine biosynthetic process	BP
GO:0000107	imidazoleglycerol phosphate synthase activity	MF
GO:0000109	nucleotide excision repair complex	CC
GO:0000110	nucleotide excision repair factor 1 complex	CC
GO:0000111	nucleotide excision repair factor 2 complex	CC
GO:0000112	nucleotide excision repair factor 3 complex	CC
GO:0000113	nucleotide excision repair factor 4 complex	CC
GO:0000117	regulation of transcription involved in g2 m transition of mitotic cell cycle	BP
GO:0000118	histone deacetylase complex	CC
GO:0000120	rna polymerase i transcription factor complex	CC
GO:0000121	glycerol 1 phosphatase activity	MF
GO:0000122	negative regulation of transcription by rna polymerase ii	BP
GO:0000123	histone acetyltransferase complex	CC
GO:0000124	saga complex	CC
GO:0000125	pcaf complex	CC
GO:0000126	transcription factor tfiiib complex	CC
GO:0000127	transcription factor tfiiic complex	CC
GO:0000128	flocculation	BP
GO:0000131	incipient cellular bud site	CC
GO:0000132	establishment of mitotic spindle orientation	BP
GO:0000133	polarisome	CC
GO:0000136	alpha 1 6 mannosyltransferase complex	CC
GO:0000137	golgi cis cisterna	CC
GO:0000138	golgi trans cisterna	CC
GO:0000139	golgi membrane	CC
GO:0000140	acylglycerone phosphate reductase activity	MF
GO:0000142	cellular bud neck contractile ring	CC
GO:0000144	cellular bud neck septin ring	CC
GO:0000145	exocyst	CC
GO:0000146	microfilament motor activity	MF
GO:0000147	actin cortical patch assembly	BP
GO:0000148	1 3 beta d glucan synthase complex	CC
GO:0000149	snare binding	MF
GO:0000150	recombinase activity	MF
GO:0000151	ubiquitin ligase complex	CC
GO:0000152	nuclear ubiquitin ligase complex	CC
GO:0000153	cytoplasmic ubiquitin ligase complex	CC
GO:0000154	rrna modification	BP
GO:0000155	phosphorelay sensor kinase activity	MF
GO:0000156	phosphorelay response regulator activity	MF
GO:0000159	protein phosphatase type 2a complex	CC
GO:0000160	phosphorelay signal transduction system	BP
GO:0000161	osmosensory signaling mapk cascade	BP
GO:0000162	tryptophan biosynthetic process	BP
GO:0000164	protein phosphatase type 1 complex	CC
GO:0000165	mapk cascade	BP
GO:0000166	nucleotide binding	MF
GO:0000167	activation of mapkkk activity involved in osmosensory signaling pathway	BP
GO:0000168	activation of mapkk activity involved in osmosensory signaling pathway	BP
GO:0000169	activation of mapk activity involved in osmosensory signaling pathway	BP
GO:0000170	sphingosine hydroxylase activity	MF
GO:0000171	ribonuclease mrp activity	MF
GO:0000172	ribonuclease mrp complex	CC
