ID	MB	COR	SHFT	DIF	W	CLASS
Ezrin-Nherf1-Irbit-NHE3 complex_6663	"AHCYL1,EZR,SLC9A3R1"	"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9999997025754193,0.9999944238181605,0.9998010503572804,0.9973211033397651,0.9965095407047937,0.9959359941570392,0.9957768276940415,0.9790941649025613,0.9615645326309629,0.9631534935752409,0.8724132372279695,0.7998100791655676,0.8379880888933945,0.8754032957269579,0.8139056252285383,0.808710487682998,0.6484432714238035,0.6145641829390532,0.5225569182205136,0.3933219451021366,0.27446358874708016,0.1506983744579022,-0.04009816198168614,-0.2375923845458876,-0.21765779176976952,-0.10327533437428776,-0.19197979811522561,-0.2245722516682084,-0.233116919247204,-0.26049225875946486,-0.3031239599274961,-0.3417007049246527,-0.3552791157152428,-0.3240036125391046,-0.23594801026289539,-0.08515737421831464,0.10728242031083086,0.24140312349645696,0.43069178858603624,0.6996655500811277,0.8911041574023565,0.9413178740138384,0.9663498685378036,0.9863810715743019,0.9493949899105192,0.9084520572269398,0.8602583407673174,0.6054738067667457,0.10653624484643402,-0.3896309748199526,-0.2078979088758548,0.1559860887384905,0.5358795584979393,0.7122635286789066,nan,nan,nan,nan,nan,nan,nan"	6	"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.368526444110822e-06,0.00017886785534948222,0.0022082923258585057,0.010359786762442091,0.020585722934193987,0.02468104119732541,0.023602662909209135,0.014014288443685735,0.011343765186870079,0.023746856123930873,0.05103476909235096,0.095909483410121,0.1403920910730965,0.17323788183641078,0.19259232198757317,0.20297149421787022,0.22122611566150852,0.2656717042850609,0.3390045168371034,0.4373145920475134,0.5462259665629968,0.6251353796495192,0.6537291218223751,0.6068247304010964,0.4861428097134586,0.32809694069385403,0.198921985679128,0.22578340118641657,0.48399505508954316,0.656374409886859,0.5523300952454554,0.6367547402111717,0.5390564951157942,0.3117769970251765,0.12944475752673398,0.05839903075775695,0.03240725888909835,0.01924126270611651,0.013719402129800695,0.008442763339851762,0.005184395812348042,0.003181731524384233,0.0013811540154017568,0.0004250074913374656,0.0008057698316745526,0.0008268523621832026,0.0006615020362867502,0.00032566242843973394,6.890951786221684e-05,5.567732707227384e-06,1.6689354232281052e-07,0.0,0.0"	4.333333333	0
"Actin-ribonucleoprotein complex (POLR2A, GTF2F1, HNRNPU)_5363"	"GTF2F1,HNRNPU,POLR2A"	"0.7698578110008221,0.5392849174315654,0.21898340339663266,-0.36554861900359875,-0.48564513875083154,-0.1012298763796762,0.17664017678517488,-0.0972643382719165,-0.055835082289912796,-0.08573047372388763,-0.012585232597138951,0.0738834176642293,-0.004404897348361321,-0.08980621685970121,-0.1335726275044119,-0.15296135111116319,-0.1721162100880476,-0.21140509108286598,-0.26137020061956434,-0.29337841336004844,-0.26808778944425543,-0.10268943016423397,0.07204445944397057,0.05891820581858709,-0.17886989961616517,-0.3545192049407251,-0.4200378521861026,-0.4555003442509759,-0.456969559495499,-0.3967130456407982,-0.10831135812933011,0.09486887257746864,0.13122170461792418,0.12242133110585733,0.11370173460880421,0.09382092350003068,0.032530724975437776,-0.0704371737027328,0.43507553691809225,0.3288975669953553,0.36503700679974527,0.5001645673491222,0.5917342106090691,0.6112883318222002,0.6451918623867928,0.7374965419717772,0.0937590421049439,0.12297232834853437,0.09945888248687466,0.05759855508880052,0.06321690689794046,0.13107707106951735,0.17145063725408263,0.2057622227609436,0.5816316405773677,0.5564979845604223,0.36286399054195634,0.189704830666429,0.03886793642896841,-0.05410342224111069,0.2502709788063666,0.3642705831615523,0.16666175657672527,0.05946134616163136,0.21777306397753246,0.40336782221272044,nan,nan,nan,nan,nan,nan"	22	"0.039252092841681775,0.08535393848148358,0.1678966989045677,0.2556360709710784,0.31511675570391673,0.33415445691294005,0.3357705813700069,0.3709762993004105,0.4654824346799997,0.5856987679577242,0.6666666666666666,0.6666422933361283,0.593485839513303,0.4712006714543095,0.3493497199688556,0.2661170650529728,0.20695561062623755,0.14833693375994905,0.12248432684146948,0.13979848259872948,0.2074406227211567,0.2801270641848494,0.3533911107702911,0.43397989393580033,0.5151335428608322,0.6103596184950977,0.654845139644398,0.6206585824202743,0.560130546220669,0.45705657128659133,0.3323758343223376,0.21718966276848942,0.11346783266872766,0.03997467577490995,0.012341688360647508,0.03931686644125768,0.05758166526507937,0.0634965791292343,0.06947249700676562,0.10992923084585833,0.23654509895360187,0.4604197724097871,0.6528262585138852,0.6666666666666666,0.5115326144713491,0.2962444048676454,0.1261910890580603,0.0491298726622329,0.03657841859250424,0.02650505141259561,0.022784440171470546,0.019167241336182708,0.01449160304440625,0.012547599488418817,0.009684388115961402,0.007078973430310398,0.006378428870721992,0.005049299030947291,0.004132772958831468,0.008175482107960088,0.01597728305108409,0.015659956481671705,0.009997352126710051,0.008574442688806706,0.010206672146030956,0.011806246233668964,0.011817940454845953,0.010498814715583482,0.00898351471071692,0.007342701924942793,0.003941953296592342,0.0"	7	0
CAPZalpha-CAPZbeta complex_6483	"CAPZA1,CAPZB"	"0.9857113108243118,0.9813109134028265,0.9697023956013924,0.9564822392094744,0.9495640067263261,0.9597130421389135,0.9931969751666269,0.9989148185690769,0.9996376874973543,0.9996965086035128,0.999102248383916,0.9984934277357222,0.9983188839824773,0.9971837338177023,0.9941879005685598,0.993829543324513,0.9957712346110859,0.995069547722733,0.9951100935448293,0.9944237235825285,0.9928678444905294,0.9936499062571719,0.9966658243369602,0.9978407199488419,0.9959068699465224,0.9941216197427414,0.9837984497281862,0.9046024745924974,0.9149373866799686,0.9684249950169843,0.9412266779904804,0.8992219029493279,0.935951345399784,0.9797051121126004,0.991692742037157,0.9940384212626876,0.9943842689956356,0.9950127506969891,0.9971903297573799,0.9986190709705067,0.9996591065244458,0.9999436544375538,0.9999797254892828,0.999663069216055,0.9976755757373242,0.9953274549002332,0.9947945609374303,0.9950580476285736,0.9953959507479011,0.9957100659547019,0.9961296495915015,0.996532740901129,0.9967883648218508,0.9976491944411254,0.9990274526325043,0.9995658627641062,0.9982209231398285,0.9939208778243799,0.9836354753479604,0.980065783288504,0.9775882293560436,0.9620021549599778,0.9590973675011095,0.9669268035408589,0.9682950639072787,0.9253394790085808,0.889540505550396,0.8873562230960698,0.9712019124274955,0.9993159432289376,1.0,nan"	0	"0.0014225457735641562,0.0013384089882483297,0.000756017891700541,0.00021705792427378912,0.00010744427571212495,0.0016284643062159376,0.003932576466460835,0.006149692320665701,0.006765029286974984,0.005288032511035337,0.0034816984435649886,0.0025200826217515807,0.0030845390438677817,0.004932721279825962,0.005222063481741077,0.0022692557726688295,0.002811794512314586,0.0062709169762079076,0.004498231870657732,0.0024090997098404066,0.005378153304767375,0.0009530330074598581,0.005871215049039341,0.010712556580407234,0.009644595845942142,0.0030807228459600183,0.0034418392915842103,0.005117137947954625,0.004455841245614864,0.004183346389429899,0.004542109591208269,0.005303754416710615,0.005288151934972566,0.004146389376785957,0.002190309178784742,0.00026916194814460837,9.332350893528907e-05,0.00017751497592662785,0.0005296155857732604,0.0025913676493280954,0.004752342310250894,0.0047444850127297475,0.0039058274840493012,0.0029004903307428137,0.0015222473236471135,0.0012705075329468712,0.0028885450379484423,0.0024277262941522354,0.001577568268654711,0.008100031454530199,0.02541938552269729,0.036034913512886235,0.0,0.06325946110261682,0.0734843355141312,0.04387496369831312,0.02027061007857435,0.008926177628567795,0.002848713723027363,0.0018824151227386787,0.004030812886815442,0.0027232269714965035,0.002073758657689398,0.0027622271387282727,0.0037607372699105922,0.0031112028782699272,0.0008873020004533845,0.00010663861333326335,0.0011684686397508753,0.0017400668519161305,0.0010113882971167767,0.0"	3	3
RFC core complex_278	"RFC2,RFC4,RFC5"	"0.9856759437792162,0.95110907754677,0.7424199015846575,0.6441087591239425,0.8205979233322126,0.874436401024664,0.8830450710816812,0.9074861950400995,0.9454793779061405,0.9488133797518925,0.923649641214198,0.8833416288983726,0.8262642288473447,0.8051650946885265,0.864172870582922,0.7975680973108766,0.6172720045469099,0.36358409998042923,0.1632023310064026,-0.05010567318310821,-0.23611836398861483,-0.2813459849598629,-0.1676680317663034,0.14616295866523565,0.49729317089706165,0.8317389833488952,0.9745446939452163,0.9503420029786076,0.8944846342850932,0.8890735560378613,0.9173231161779771,0.674413222678475,0.3935839507811208,0.2243164054167682,-0.031234712024170108,-0.12127725447239451,0.5889417238723178,0.871768570554177,0.9535275058959645,0.9795713860862051,0.9887032496234722,0.9834620166277834,0.9754930489039961,0.9691620668085305,0.9713785789226872,0.9806149455552152,0.9875647995242343,0.9885783416813402,0.9837735054183611,0.971000658110864,0.9436077883605222,0.8827790574256285,0.7233525004796487,-0.1099466215244657,-0.3501604079203955,-0.29745811325634186,-0.2244960877970782,-0.1638811719854372,-0.24279662419809944,-0.4353973728104954,-0.39370130880556875,-0.2921672290528494,-0.17024497127333874,-0.17272179501817295,-0.1537512912653707,-0.045768461372443094,0.1077540207109164,0.3491645778411814,0.8692605988489782,0.9924225766918253,1.0,nan"	0	"0.07752050557962092,0.0795083485202304,0.057375500538333735,0.04125491944842293,0.05405185892851172,0.0686495391587797,0.06397560607714396,0.054810469945671104,0.0450080234277224,0.025632910425379556,0.0061045442463204536,0.010117471944848392,0.021953288390949382,0.030102500131951076,0.040769309505084006,0.051902242167299883,0.05029006434412986,0.033346680933362904,0.020186241071515603,0.024547349325881318,0.0440421275837794,0.07226482676727715,0.08491090952202807,0.07872047497153993,0.04597740220009727,0.022621058967002266,0.04955642008811536,0.05774116944015265,0.060396433919200875,0.05986840257402574,0.052285487137371765,0.04289883786122506,0.03389342694484974,0.036606431369925085,0.049515436130966685,0.055542989097129215,0.04634300301033909,0.02512487690618705,0.017350524683021878,0.03159222162910411,0.12176803611698621,0.1775088113807197,0.1770400347846138,0.15626173497148085,0.14101823801255356,0.11035024496764552,0.056027536420175585,0.014179228159981369,0.0,0.03395135594002078,0.093684904276167,0.1211825228566427,0.1550842251296223,0.15120875352607477,0.13236605388017206,0.1515359890363409,0.14700479317886037,0.11101274489945588,0.06918340538118092,0.056779755968019985,0.05768440960158666,0.05900969103210358,0.06855308356348004,0.17142460212277144,0.2141485035713249,0.15442344601023797,0.10386217576902113,0.07679192551203463,0.07514866585332518,0.06479660949977618,0.06504452006738154,0.05693863515889543"	4.666666667	3
"39S ribosomal subunit, mitochondrial_324"	"MRPL1,MRPL10,MRPL11,MRPL12,MRPL13,MRPL14,MRPL15,MRPL16,MRPL17,MRPL18,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL23,MRPL24,MRPL27,MRPL28,MRPL3,MRPL30,MRPL32,MRPL34,MRPL37,MRPL38,MRPL39,MRPL4,MRPL40,MRPL41,MRPL43,MRPL44,MRPL45,MRPL46,MRPL47,MRPL48,MRPL49,MRPL50,MRPL51,MRPL52,MRPL53,MRPL54,MRPL55,MRPL9"	"0.9407552236851815,0.9237194052327645,0.8816886659056395,0.7903714127767184,0.7584464859890485,0.9086726827935665,0.9737595147735006,0.9860381285575885,0.9888612360550809,0.9877198415904415,0.9815902573195908,0.9804971225596147,0.9859584729982613,0.9904834396111581,0.9934540958880431,0.9954881050644506,0.9960658654208877,0.9950737700772802,0.9923939051573081,0.9868531232728913,0.9757810286241225,0.9547763015021079,0.9284151933390242,0.9069651394626831,0.8791385128038124,0.8104248474083874,0.7136235956698285,0.5439648386916457,0.4036630654907718,0.27049723128610703,0.160510366844946,0.04958815114761521,0.0473245277013015,0.04853596000738317,0.02330331716386406,0.023803883204138267,0.015211808054684283,0.0016648828257603684,0.011650352147614318,0.05359600596622448,0.0556236755323382,0.06982315840590103,0.11979649298628282,0.19064592147659706,0.30037393918071553,0.3300908079100158,0.3194037105513126,0.27761572856945044,0.2605697910219165,0.1621634237714953,0.10075928451102022,0.03938172557654807,0.05723925542587924,-0.01587610548457303,-0.03936092508886944,-0.03184880129090895,-0.02606061472448064,-0.019652378112408643,-0.00795012114665592,-0.02263101891258765,-0.010635569616125983,0.030922070096205713,0.08457877840119453,0.1083180920746978,0.14104019470137016,0.1961540594308912,0.285011071343259,0.37722069652565804,0.4344947878914703,0.45664283299099956,0.4725274725274725,nan"	0.090808416	"0.02296296521970227,0.03633095405300993,0.05494479209719766,0.06587874618301211,0.06784890306963501,0.06612892985310595,0.06145292055227553,0.05944516960573118,0.0648334552770299,0.06672869087605927,0.06711924995886566,0.06240296582358226,0.054542351088588355,0.049394192595869094,0.04881106304354657,0.03264006417212871,0.0019857789169226946,0.020157835724542553,0.039395288250680706,0.05680663616540887,0.06623129715381541,0.05975825211783067,0.04846175528121547,0.04487329424698242,0.03673143334067714,0.030389225195193496,0.02355781076824353,0.014936449374744627,0.00898421086954327,0.005438914352486396,0.0034378616962734247,0.0029444870126004823,0.003502477958899748,0.005825607915273136,0.009689379652679849,0.013037907804073483,0.01466819448180086,0.015371858416737105,0.014638220745956988,0.012233011533126174,0.01066119097663024,0.013176731718363846,0.022478760916435806,0.03623550580026827,0.04647319717891802,0.04482438199995376,0.03187720119071917,0.01855747973808272,0.01062760418349145,0.008014627357753787,0.010318071076703107,0.017754619542463764,0.03131960020256419,0.048601299546977686,0.06785751706409188,0.08870343505925399,0.09654058009099048,0.0800560180235588,0.058696011361727,0.04557242599641816,0.04253655365682843,0.04050944266719542,0.03334599849779811,0.028048260766345253,0.02699724778629739,0.02531536260173937,0.022207173025393045,0.01930145071341514,0.015806719969109016,0.011872620686678709,0.007815743896289511,0.00484804591853776"	5.372093023	3
TRAF6-TAK1 complex_748	"MAP3K7,TRAF6"	"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6312324533277526,0.7052774858929853,0.7102324500969129,0.6937812207163419,0.724833855862635,0.7731147130084826,0.8066553421418476,0.8439816465239995,0.8838233477232451,0.9132269707822105,0.9290968722697724,0.8970906397508159,0.7633655286612979,0.6178126270454032,0.7258797436339433,0.6307290023514073,0.5669967380570622,0.5253704906201634,0.488233136166578,0.4955555943460589,0.5665120706309479,0.6723772911030388,0.7886225749348226,0.8452801964489419,0.8692503298250528,0.8917555908336529,0.93614392314965,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan"	0	"0.0,0.0,0.0,0.0,2.1963771448865458e-05,0.000743446147738517,0.009420138117209828,0.047090825522454485,0.10579530428063927,0.1435244096017148,0.15507084360834725,0.11960674672524606,0.05071916585676351,0.009731711543461603,0.000752889999332213,2.195122789007113e-05,9.031362331914979e-06,0.00031926023152414505,0.004328236413785868,0.025050454421347613,0.07126111924636283,0.12164134377031208,0.16409212312156138,0.19568617732377314,0.21015483804092316,0.25737138875908416,0.3494852192706353,0.47579015308296696,0.5770161244581029,0.6014988681279162,0.5724713838302147,0.4320167221175635,0.14860081298451422,0.0,0.10608131521692743,0.302135999748983,0.5145250103543619,0.708500704916449,0.8658633941733889,0.9238627952316245,0.807800351684774,0.565799458042947,0.3242017336592904,0.16126505102381913,0.05847680248573145,0.010831337941150633,0.0008315102832380896,2.4209068473049877e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"	6	3
PU.1-SIN3A-HDAC complex_720	"HDAC1,SIN3A"	"0.9332329494454566,0.8527562034137561,0.5175604343591267,0.3375359258522573,0.5048490253852521,0.2739671761340119,-0.24563492209104473,-0.43157701956328454,-0.5025423440040685,-0.5300206168184897,-0.5363771249062455,-0.5092618793056178,-0.3475710243016308,0.08998747420647628,0.5026355928813023,0.5731449784160526,0.6219680358932625,0.6885673887127918,0.7783480944903386,0.8086713943625774,0.8552943503485924,0.9110048448918305,0.9470625119181655,0.9592862983442643,0.9359067946308839,0.8929467367660929,0.797950658487503,0.5421734926285208,0.06114974483495686,-0.18755346378546175,0.16271662440692786,0.5138978269612356,0.7589004067928771,0.9191278419385721,0.9764211846402177,0.9813355609247237,0.9771608798670145,0.9653783503205593,0.8335750746454984,0.15629304045997178,-0.12624325125176902,-0.20785156651710762,-0.2566842210825966,nan,nan,nan,nan,nan,-0.369825496806434,-0.3361472273027959,-0.2909763312641862,-0.26611482499975336,-0.27326031740851164,-0.2964012474943113,-0.3208827928360649,-0.35782106047465584,-0.4172392636801405,-0.4987555768964424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan"	0	"0.1152566898024793,0.1865283138281908,0.2922221364466971,0.3875943920192441,0.4498383776533812,0.44159010507110097,0.36279114771044185,0.2794664993324888,0.2398724346151544,0.24945940290769064,0.23957330638618946,0.15827584210364953,0.050324264350340875,0.0786747491724964,0.27575822662586263,0.5123410504251656,0.6360209048647127,0.5593540304791742,0.39124156973200735,0.23908086583478305,0.18763641919816482,0.20441633864223785,0.2621194898807756,0.34720929052800487,0.3527799170832936,0.2894858436784157,0.21490432568871476,0.13837187968793396,0.10717546012653371,0.11394986983195851,0.11325288960272384,0.10705209439365773,0.09604125750943467,0.0648634121941668,0.027210395749392727,0.01216698358309376,0.0026560727764405323,0.008100375020745135,0.004108889328267057,0.02549771532557113,0.018643102813108825,0.004386294707635059,0.0003665287953948859,1.117729955506048e-05,1.527226880990282e-05,0.0005540721915946393,0.007848690090448614,0.05008632098400113,0.171163893551171,0.3682451692624649,0.5423802360375912,0.5578963036610309,0.40297660151061887,0.20380144226028024,0.06557981089053048,0.011002191236228006,0.0008042988258094238,3.898515330670747e-06,0.0006319716330599354,0.007914508142617117,0.038253290517193055,0.0778191784725491,0.08444778314470638,0.07700904775340707,0.07519249763219416,0.06691137019315146,0.05608486111445564,0.05357325383440194,0.05065612469384486,0.03568075176670094,0.014517298831640914,0.002954518426883001"	8.5	0
TRAP-SMCC mediator complex_867	"MED1,MED11,MED17,MED22,MED25,MED29,MED4"	"0.9307732500603214,0.9143526791210568,0.8661297842748025,0.8072964834510008,0.8025379069805988,0.8588706937306976,0.9147140142384338,0.9533326110453918,0.9710814129233152,0.9712870053771809,0.9612622583142965,0.941721560330495,0.890417428345974,0.7221559738561274,0.5600874992961336,0.5536395291628777,0.6233689016524763,0.6034406346221427,0.5090101432388483,0.6528595285548527,0.6702274181589268,0.6939004158386336,0.7362229257325063,0.7726415009661087,0.7832528692777463,0.7545837580732412,0.2622361650980929,-0.11718087275194473,-0.1447209289917753,-0.10625502873010574,-0.0893938383847931,-0.1603569221084435,-0.04116140907549223,0.19309139795714256,0.23476148402414343,0.12949338585410405,0.03458221437206485,0.13550529129752784,0.01705188859705183,-0.10661375425552905,-0.2125770070197974,-0.17975373575834339,-0.08081119360550627,0.03500865389376749,0.15743244009405433,0.2976932938420639,0.4833548021198671,0.6739090533716324,0.9367406258833025,0.9348284295187587,0.9405676928011065,0.9700047831148959,0.9920434137793018,0.9980774869343053,-0.11464363234031388,-0.11467047630454633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan"	0.571428571	"0.07759549290281045,0.14140168920306767,0.21106992211508854,0.2257415679629474,0.21606592320351936,0.2207324881644281,0.1894164006033487,0.11940164232711348,0.03008506491188863,0.05582305468068251,0.11460687581227474,0.14725812985316344,0.1803200908033115,0.15293373863982057,0.13426142544890488,0.16590657567660996,0.17959147226421587,0.17545286129122833,0.15734970626458333,0.13524020308393236,0.12336794071847614,0.13098430443668954,0.15723161232501018,0.18333062273631326,0.17113151257576892,0.13541776732204083,0.09313309124080182,0.056245768535017907,0.03755571757281801,0.03378675169373875,0.038120927382966165,0.030086110732099054,0.023881487572094212,0.028348373693265552,0.03216928185963855,0.0272369079887072,0.01962663046946968,0.026374911792050267,0.0583672400837965,0.12477208660699246,0.1833352174026443,0.20551820578595462,0.18437102406280229,0.1289887556924892,0.08806641337514705,0.08879845599218335,0.1399483743596612,0.23808617251058184,0.30187662795779974,0.2739922638425707,0.1883429829415138,0.10188967985147028,0.03687139521336059,0.006708211030656062,0.0005097465730828516,1.4734651919922845e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1896149305108166e-05,0.00040841093033355705,0.005290134353369379,0.027743157405768736,0.06658890377368756,0.08830625938616057,0.07620666929056392,0.0441031727965444,0.017707555465198414"	6.428571429	3
Amfr-Vcp-Ngly1 complex_6867	"AMFR,VCP"	"0.8986390711731769,0.9070637434481766,0.8965988891428802,0.7982016107692709,0.6021780919470592,0.6336066511888157,0.8446721742285658,0.9843230082837867,0.9944740452831297,0.9707515998054903,0.8894632792439716,0.6141592527704818,-0.2625225899260366,-0.6078754408159068,-0.7406790763856109,-0.8792157147503153,-0.9426347500739883,-0.9752052177073003,-0.9576222795286229,-0.8413622009597366,-0.742418980679559,-0.6986333924885141,-0.6914806284475533,-0.6836823317861008,-0.6325385142514555,-0.5225446954489152,-0.38943854790822524,-0.23923363548390683,-0.005421172270191899,0.2926500960335926,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.11072959306127284,-0.2632800280400371,-0.27216768681326686,-0.15091238900939405,0.04672885144636013,0.12093272789934625,0.09726473219403509,0.2457804113336668,0.6878754277636723,0.9687947746546373,0.9988787108767896,0.9992042414769539,0.9989652408652425,0.9993089501812364,0.9999695202363227,0.9999330401733317,1.0,nan"	9	"0.0035352869803560857,0.008552425635935598,0.07241216427160384,0.19060551839100368,0.2923854767250601,0.3812157165894095,0.5424891727595111,0.7819824067561565,0.9444898527615568,0.9756885396484613,0.9224616199984835,0.818865343966351,0.7028562366970138,0.5938110192887348,0.5191093799845202,0.5234315555991023,0.5560100715021755,0.5437417021346438,0.4864865015449471,0.42173362807095566,0.4224420809360602,0.4224511244674431,0.3891939866312535,0.32210443003886924,0.18681621196338932,0.03926306521140152,0.08694371082993019,0.21708360669593219,0.4370580653760942,0.7499511559788035,1.0,0.9868475508112841,0.6941878342887229,0.35889935254318966,0.15495446296361412,0.06949772213834376,0.040356312635542096,0.03202524757764103,0.03102653787697478,0.03248797130121588,0.03261100954035084,0.029221317134929932,0.02277333969782842,0.0167503564773022,0.012053586655932579,0.006880149707102404,0.002399998866300032,0.00041601297829787343,3.07812299449769e-05,8.732296610804568e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.406510702564171e-07,8.2565004930875e-06,0.00010668216891923876,0.0005537928665740199,0.0012709066080382624,0.0014446469292338198,0.0008691851548698894,0.0002683051767316488,0.0002573370094425904,0.0038422315895949503,0.0194729027444158,0.04362201597232804,0.05207876619863167,0.038096364701794554,0.015674649781396193,0.003212915089817951"	5	0
MASH1 promoter-coactivator complex_3137	"CREBBP,HIST1H4A,NONO,PARP1,POLR2A,SRC"	"0.856977934130052,0.6875658316932901,0.28079569004466953,0.21520623416450615,0.48453553372100155,0.625979672701242,0.08585476846411978,0.1336447396646052,0.13337219971955244,0.07553485142657097,0.0682593487877393,0.08258973657907699,0.07172303855738256,0.08710915482320752,0.2933530936228578,0.3241439363334955,0.3070761924473856,0.2598203388558372,0.11422460964130284,0.0022871408509657965,-0.03779105424185806,-0.10495840234742397,-0.12772724489791948,-0.09693259515410932,-0.10138617208203568,-0.12921716626108082,-0.1638881959716858,-0.1883694356916068,-0.19585794460055359,-0.1845355245361036,-0.13598012756428018,-0.1811755235659033,-0.012153235518210893,-0.07088969955702826,-0.17047294730258683,-0.18506628610361792,-0.20133578319941417,-0.21103814625665507,-0.2407561259479035,-0.19634718445193786,-0.12103289728730456,-0.03226384469840976,0.021689553658071865,-0.005280770873764218,-0.13220816961589424,-0.2112379595933714,-0.20525043941866042,-0.1711264121656906,-0.08201928503744745,0.004875019112452178,0.08959826626088767,0.1841266108780318,0.27197850946520513,0.3195062534673476,0.3553840923162125,0.4131356632875442,0.5048903370209588,0.6021310182759702,0.7283302447977407,0.8184794437190689,0.8902867223818189,0.8437285527528532,0.7706093801843219,0.7252804380517394,0.7175827760667643,0.7381851653238778,0.9216299771076545,0.9375423384353309,0.9418832072756724,0.9599493311013704,1.0,nan"	13.33333333	"0.1134200793488897,0.1822953225868714,0.2791230553718112,0.3452909956228113,0.3703643111820312,0.35902109906597884,0.3229179648765939,0.29377902456047367,0.28554403036534487,0.2904557812663356,0.30319883170670175,0.31359977374640147,0.3069973036365672,0.27696525631328256,0.24797241838357517,0.24545934859474755,0.24532042772008372,0.2278329026184231,0.23337565481022293,0.31797272272574584,0.3974274981912631,0.4274439727202369,0.46411620608767873,0.5027923110910393,0.45778665968406407,0.4438882133514789,0.44350655515804127,0.40586109117433,0.3766289867347666,0.33785987990632455,0.3313142593188285,0.38547174265520856,0.41411051635992285,0.37954565337800594,0.36208297064752687,0.4008749238269683,0.41640340933851017,0.4153446502101267,0.41839354080150115,0.4337788026286082,0.45186876233148787,0.46016281006314036,0.48198274511525213,0.5012237903764081,0.47145204421738396,0.3985460744898626,0.28949758573403,0.21423114626496037,0.23320952207016246,0.27917148226261934,0.3441760646365157,0.4116190286888117,0.45355265089387664,0.4412618875702782,0.35856666824805256,0.2715848286172228,0.230360360526199,0.21031388361923006,0.17699865713045845,0.13820040405115513,0.12485587895270496,0.126822135484737,0.11798592041601304,0.10923803611595785,0.10644906718069254,0.102875845204512,0.09593600621013072,0.08813726234906984,0.07970630206536712,0.07157010943878142,0.05678873082357393,0.035713452026037755"	5.5	0
