ID	MB	COR	SHFT	DIF	W	CLASS
BLOC-1 (biogenesis of lysosome-related organelles complex 1)_23	SNAPIN#BLOC1S1#BLOC1S3#BLOC1S2#BLOC1S5#DTNBP1#BLOC1S4#BLOC1S6	"0.7016324816327465,0.6938960953333139,0.7639555678657001,0.8533245737205509,0.911243012270857,0.9436063441994367,0.9678762073515035,0.9797006930018248,0.9824306897036352,0.9806367685940963,0.9752672371648713,0.9612666884706967,0.9370282170961314,0.9349811102310405,0.9514393838422527,0.9562818467240513,0.9522743921446039,0.9367137443117903,0.9024614443189866,0.7984655627454069,0.5279839896406001,0.22348903773905468,0.062056419588460865,0.11448317123304029,0.2930322355657052,0.4311971325354235,0.5177856746071505,0.42990125717201005,0.3950841316611532,0.4357520492746786,0.466519192594635,0.27259333900935767,0.276257284320836,0.07023491785673826,-0.0026311538015097837,-0.053715177077701216,-0.059057611915050504,-0.06075422147212513,-0.06209777360089887,-0.003246862407862253,-0.0021491444462753894,-0.001908585868741573,-0.0018812973065694722,-0.002020138387565183,-0.0025232650158425384,-0.002619496126174276,-0.002643098583094004,-0.0016644710394311732,-0.00046283043571474343,-0.00010654551588933676,0.03571428571428691,0.03571428571432688,0.14285714285714293,0.14285714285714293,0.14285714285714293,0.14285714285714293,0.14285714285714293,0.14285714285714293,0.14285714285714293,0.14285714285714293,0.14285714285714293,0.14285714285714293,0.14285714285714293,nan,nan,nan,nan,nan,nan,nan,nan,nan"	0.535714286	"0.006749443829696582,0.03256415418534641,0.07523556852726218,0.09162926098919515,0.08352814968778252,0.08245133714578479,0.07753801727305454,0.08045328051901343,0.1054816691883472,0.1350773922149291,0.13953640447657847,0.13478286423919303,0.12461499809172856,0.10564185951089841,0.08370276482181398,0.06467496552630023,0.02407792703864006,0.025941545312453382,0.05638267907628324,0.07018766163565328,0.08415194996348098,0.08635931078428481,0.09827533163198258,0.125332835935626,0.183559834450456,0.24380398523775515,0.2658914794990716,0.2794549233319603,0.3205050055078025,0.3600219872920828,0.36376242222883326,0.32083763724098946,0.23898419924477188,0.15453164612120723,0.08820351236420192,0.03837762831078562,0.02088474453570533,0.02152601842916384,0.01837741148395334,0.012011962571509858,0.01632138803148871,0.06567566499620238,0.13987517509768235,0.1708203990052097,0.16512872356973096,0.1308099236609205,0.07901289015594874,0.03982361125356754,0.014741906695226056,0.00277553121589718,0.00021474015660397495,6.2838858029477215e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"	7.125	3
Arp2/3 protein complex_27	ARPC1B#ARPC2#ARPC3#ARPC5#ARPC4#ACTR3#ACTR2	"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6042612431600569,0.6167986343193848,0.6372365343684047,0.7006719123305262,0.8228329813428207,0.932844285345492,0.9758074477681374,0.9885467318737268,0.9931303228967655,0.9986707488974632,0.999613736058393,0.9991720550329762,0.9986968818871278,0.997621730800514,0.9965144146751266,0.9961797423333463,0.996246608640094,0.9964288883758015,0.9965929960571371,0.9969809426095964,0.997662619097626,0.9977573939494396,0.9977278789746364,0.9963156293137372,0.98451075535703,0.9224314276130856,0.7601272581374349,0.5717369184223691,0.4977631784216694,0.4272560204604846,0.2511025789958675,0.03257683695832343,-0.00011520820300413623,-0.008080348434601103,-0.006496125135751442,0.010691148197351945,0.02030223138700053,0.06914294568166504,0.11010740908345278,nan,nan,nan,nan,nan,nan,nan,nan,nan"	0.476190476	"0.0004064628936473527,0.00048681611181413824,0.00045514344956229064,0.00022152403944424915,4.5519845436564644e-05,3.6238460051157223e-06,1.0751701275143725e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6017279767680565e-07,9.02020848995696e-06,0.00011934667864764153,0.0006676797969484817,0.001949907866813646,0.004013415134125024,0.006476320044288316,0.007523595181929566,0.005855999474373853,0.002838694244920523,0.0008027078268198999,0.0002520119130143851,0.0007169987852400697,0.0019872944827736805,0.0037096633530572507,0.005491559129834165,0.005953332195668601,0.005638881645218381,0.006597682604390511,0.007271277211391079,0.00948930936065088,0.029191974503527514,0.03990210251040244,0.010641884608716063,0.02526660739282483,0.04968214986220077,0.04768763061683016,0.027666755889141522,0.01497221137892989,0.01310512499286944,0.0135616248913795,0.015172126591093595,0.016290548535142155,0.013108210310558104,0.00928030586037785,0.008256819495810065,0.008924061483002642,0.009194285319064934,0.011897908032606583,0.017409954142511647,0.021247465947083332,0.019342508186323965,0.015616717352720142,0.012702593939431598,0.009314902169111725,0.006293071872024365,0.005195109845195371,0.004496370817153474,0.003657281347084844,0.002744295989194586,0.0017028498028901552"	3	3
PA28 complex_30	PSME1#PSME2	"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.42103322525782666,0.4812407539708854,0.5813529683175238,0.7493049265158807,0.8630878278967696,0.9271749080354387,0.9683998066602967,0.98569733749631,0.9880810082996335,0.9760803821539467,0.963216222827356,0.9596454877089654,0.9641304882829933,0.9733076421243978,0.9817944364300225,0.9835960595502365,0.9797214804519288,0.9453904517252117,0.9251926999715147,0.9605631489075316,0.9737769542455569,0.9835066757792521,0.9899378333908547,0.9951978759481201,0.9993796242187624,0.9998770814580985,0.9996138915629632,0.9992016311387185,0.9987926047684531,0.9984829854395556,0.998358793881792,0.9983730316549869,0.9985347676113705,0.9987970720829986,0.9992557767072582,0.9998025583343924,0.9999152310658725,0.9997615304529326,0.9988129345757885,0.9932985959866842,0.9678999031733115,0.8716656832169599,0.6541204849369291,0.5235495463033687,0.5018324264532936,0.4900262529665919,2.75802774759369e-15,2.655405301810702e-15,2.7294691921756207e-15,3.198488365617974e-15,2.8853819606840962e-15,2.4743138123778495e-15,2.457713788302565e-15,nan,nan,nan,nan,nan,nan,nan,nan,nan"	0	"0.0,0.0,5.206178974289164e-07,1.7881630310761027e-05,0.00023207070539099165,0.0012275288551046096,0.0030656609387764294,0.004679809760441868,0.0056275237147816026,0.005881540059540885,0.005656675922583197,0.005385881850475878,0.004676335005202447,0.003002513705536128,0.0011382874985104642,0.0002381700438962535,0.00041504674806343837,0.0020171968220066613,0.004556642900866105,0.005973745210891837,0.006479886124400024,0.007339788271479219,0.008664638630067112,0.00870650740877451,0.005208773946215505,9.988354179645692e-05,0.0026659574871226513,0.0031940547602729644,0.002553326653740924,0.0010573134637262387,0.0002175984284667478,0.002146846514320052,0.004953975431585834,0.00666758271790268,0.006625458641311957,0.0026966574487865703,0.004766791244174045,0.00920166460364143,0.008355071395735762,0.006136638855294307,0.00986553623672274,0.01473024005858975,0.015453713741228198,0.029403638930098674,0.03519063965852531,0.0,0.0222009879882219,0.020323876926375606,0.014241823615960825,0.007619541448852116,0.003357085796610447,0.003173754766836543,0.007565045513762754,0.010925333991553212,0.01109156439950319,0.010095689157612844,0.007504738230943034,0.0032701370094456385,0.0006920396161315201,0.0006781132688255089,0.0031214787688078178,0.006797903662942302,0.008310479708670031,0.007834884178156901,0.006574771801625413,0.00545336837487273,0.004691753432012036,0.0031349344417626697,0.0012053831590280275,0.0002194063945975281,1.658370094414631e-05,4.765537503761091e-07"	2	3
PA700 complex_32	PSMD11#PSMD12#PSMD9#PSMD14#PSMD3#PSMD10#PSMC3#PSMC2#PSMC4#PSMD8#PSMD7#PSMD4#PSMC1#PSMC5#PSMC6#PSMD2#PSMD6#PSMD1#PSMD13	"0.9916017493642156,0.9869203158832804,0.9743269033147348,0.9529803115915303,0.927676256690088,0.8787061973610906,0.7758173375394007,0.7554464917573446,0.7652459621896042,0.7546729707688207,0.7365292085368637,0.7156271016082009,0.7009586679667478,0.691242075544914,0.6662916542439207,0.6431131213894943,0.7197654844100361,0.8023024926624601,0.8725214534423825,0.9281568752518986,0.9596815330654813,0.9777617588007984,0.982235559852999,0.9674246031930195,0.9146991017714577,0.7520406124759551,0.4823024474550627,0.21660569358366893,0.1337748377081723,0.16646489268644873,0.20968767776641348,0.2337707433585295,0.27433581726534934,0.29265059863264514,0.2542227370124017,0.25353403704917044,0.2664687208386679,0.2235496307489253,0.16574461149542422,0.19003420039350083,0.2153935351420081,0.17438680641045837,0.1560078336379804,0.14488164932549075,0.14342357120735533,0.14912443474687348,0.13829153331291,0.11114531565382504,0.08178862969932221,0.11722493529928686,0.20704869051088484,0.2461029272928709,0.24951476056828795,0.22471607770215185,0.209661116123854,0.2703160829417205,0.4003023015154751,0.5016354418057527,0.4831824658459343,0.4538409278620637,0.4667950472350491,0.5443429338893513,0.6237140550675487,nan,nan,nan,nan,nan,nan,nan,nan,nan"	1.777777778	"0.02808109445272115,0.04401596581217559,0.07042055076090117,0.09064532443262609,0.10110511973989333,0.1144927212877484,0.12309844826911175,0.13332988337847265,0.15305315770544628,0.16375126976280488,0.16130402952001444,0.1615638950540454,0.14965834213913876,0.1482820842365438,0.16763714274280478,0.19310207695243573,0.19085591620728903,0.19326226211567277,0.1842246576140653,0.17792006197101573,0.18032107290813246,0.17830940627922148,0.17641602934544073,0.16793376651598135,0.1473350376463589,0.12735848564358682,0.10591348055287719,0.07977771973196018,0.06033386568276151,0.05322738770234216,0.05340949257200816,0.0765734351065782,0.11342432046130915,0.15878913408533937,0.19863559316526444,0.19282777483775818,0.1479425446992015,0.09787976213914835,0.060009325510402334,0.04500167890677353,0.0495792001159374,0.051969744313055274,0.05187484199108127,0.06567393275451307,0.11096925124506193,0.17710080091067784,0.24203889085054442,0.2635076168387747,0.21560778571067524,0.15187502237310727,0.11375462567728639,0.10741249073627222,0.1177578062236642,0.12895526284737222,0.12815352510336964,0.15073192087933004,0.17717508491163328,0.16188630128193682,0.1177351751899953,0.07450806476452576,0.05385120405866225,0.04288900151188304,0.03625698014226909,0.0359389760576521,0.033807300254805835,0.03085397330663427,0.026486006386289864,0.023676311070493474,0.02557324050750136,0.024522857558378318,0.01668174715785062,0.007052336414576741"	8.842105263	3
Aqp4-Dag1-Dmd-Snta1 complex_34	DMD#DAG1	"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.3071011485852129,-0.30247640527586694,-0.35327948062100706,-0.44823132494709345,-0.6393235579752841,-0.8431375105849914,-0.8468858934900394,-0.6729546408201517,-0.4252348227921923,-0.1947538614387292,0.02444109996819081,0.26335395017474705,0.5365959573975854,0.7645646098544175,0.8828887488773741,0.9527508970027481,0.9880437103319989,0.9971198780849063,-2.9140383985059406e-14,-1.008479885432504e-12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan"	34	"0.1781202070481635,0.2898669761716682,0.4734136046888477,0.6469520051741611,0.7726829715404203,0.8685837594815816,0.9472687107665719,0.9990570164001965,1.0,0.946698793544847,0.8691972484536755,0.7681230766600572,0.6580734030586125,0.5501634805875972,0.4802006600561855,0.47206606100283127,0.46658328281260614,0.41655587579540704,0.3611811654268803,0.3339252731240357,0.31668390651621603,0.2921664654358683,0.27277470640017765,0.2607108825888997,0.2150931739840958,0.14838072133986813,0.11958988925117156,0.1302382956441829,0.13343435858104769,0.11314901241518,0.07713947632042395,0.05437589323891539,0.04726381895144818,0.042368329055743066,0.03816118632554096,0.03421084855141378,0.029993011224032314,0.027570513986412,0.020685708539310697,0.0476551910465542,0.34896199950892504,0.8261278067637103,0.9920163537378442,0.697860950982277,0.27296794454517387,0.05035739691378224,0.003833081196177251,0.00011070341177180879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"	5.5	0
AP1 adaptor complex_36	AP1G1#AP1G2#AP1S2#AP1S1#AP1B1#AP1M1	"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7829374403088037,0.8207911534467651,0.8724740523519905,0.9342824756126261,0.9771101592167416,0.9882688047612819,0.9897136720053512,0.9879031791904772,0.9807065089878293,0.9661755418649904,0.9470538340946828,0.9335239664908902,0.9308027384220847,0.9353189148429598,0.9456457542261637,0.9625457917490624,0.9774025874206962,0.9839444010077166,0.9840661050454226,0.9821006381017583,0.9731980752978215,0.9558824319521232,0.9442772431131374,0.7789160199239229,0.6177286050812153,0.22712695037340158,-0.030602933801205157,-0.03629091664615316,-0.021907183209457594,-0.13333333333333344,-0.13333333333333347,-0.13333333333333344,-0.13333333333333347,-0.13333333333333341,-0.13333333333333344,-0.13333333333333344,-0.13333333333333344,-0.1333333333333335,-0.13333333333333366,-0.1333333333333341,-0.13333333333333727,-0.13333333333333916,-0.13333333333333947,-0.13333333333333988,nan,nan,nan,nan,nan,nan,nan,nan,nan"	0.333333333	"0.00213604002518719,0.0030401558161099423,0.0046038832159450505,0.005915228687919046,0.0065752239851468615,0.006935989989380146,0.007294467006723498,0.007653069480675205,0.008136016033713228,0.008176107511173059,0.007602048246222946,0.006948635560044039,0.006408036541677368,0.00575194919665152,0.005498333594358775,0.0063408281699090935,0.007252689483021507,0.007347152589732245,0.0072916920050516984,0.007404059258548562,0.008164575520983602,0.0110405977253564,0.0161179913759063,0.019378427333860533,0.019687053693139875,0.02099340252404281,0.02349060671379982,0.024563963996500293,0.0255651035786339,0.031222374587607273,0.03977509883103618,0.055496817045628845,0.08935816229360014,0.12856226431028428,0.12515861025317335,0.049509641427415686,0.061306446594140425,0.1438096407315778,0.15460041580404837,0.11680959319890233,0.07927111209099649,0.052729920163139085,0.032321306278342066,0.017118245836446937,0.009471858158940619,0.006930755354939846,0.006150028370991147,0.005963316372802599,0.005855976638704144,0.006765283908838225,0.012055327583322152,0.032290718794880414,0.08261440794141293,0.1571428067583171,0.2162793930239392,0.21969140682730431,0.17159378482734258,0.10127037168294371,0.03756922541599992,0.0068295456549669845,0.0005038333753580431,0.0,6.968278955730105e-07,0.00019356223418058,0.0010787823245256244,0.0026059650360550014,0.0035261495271786446,0.0034990407632255844,0.0031114659685270696,0.002480448825426601,0.0015772794929110037,0.0007710072181381936"	3.333333333	3
Immunoproteasome_39	PSMB1#PSMA3#PSMA2#PSMB4#PSMA6#PSMA4#PSMB3#PSMB2#PSMA1#PSMA7#PSMA5	"0.9966426695243262,0.9961984672783125,0.9957084194592902,0.994908858279379,0.9935843889676987,0.9906076226974448,0.9931425066313032,0.9952301446757673,0.9959964480976289,0.9954335282384039,0.9917029585390383,0.9890501671424493,0.9903838850499461,0.9910542887964804,0.9911087775963658,0.9921479253761253,0.9829806403040987,0.9808399057408237,0.9971992291707255,0.9990843605513456,0.9993465251233177,0.999101968565605,0.998646379012048,0.9984156576922143,0.9984869764987531,0.9985664822572979,0.9986692119754313,0.9988407593163777,0.9986802986933317,0.9975772434099923,0.9937172161815705,0.9724365214810775,0.8076518105501235,0.32217391753059577,0.08699569728058408,0.1043428357454188,0.2862016290982785,0.5025297311552277,0.6168759403489674,0.7355153323348534,0.8373256610640316,0.8813466387813317,0.8587034470220847,0.7769315127388937,0.6775703141015094,0.48725570242388466,0.27454013856571147,0.10968429443221947,0.007841098807395532,-0.04761766285579672,-0.046196724608142,-0.026819000277904938,0.002460917911208457,-0.01769124837372272,0.025879601745369418,0.05338850369001191,0.06463588523754424,0.0670307462246875,0.05369313026983702,0.07663762848220387,0.18230000754622783,0.3973514856726876,0.5578341015329153,nan,nan,nan,nan,nan,nan,nan,nan,nan"	0	"0.005709975490873833,0.007582430086124777,0.010791521181909805,0.013232029315436345,0.012932002222419674,0.012073279802875144,0.011776646580106137,0.013013918214947087,0.014453813141164335,0.017248244118971953,0.020216311399461322,0.020366880689288252,0.01859943904762077,0.019289098055636167,0.023821299366153924,0.0282774310085222,0.029297668615623006,0.02824894407791883,0.021100453332323726,0.014346487522864805,0.012334247924776682,0.012749417555649173,0.015904238528349244,0.01839780251514318,0.014977969563848323,0.015785642707214137,0.0219074606852326,0.021146342194923746,0.012065955561441194,0.0,0.01922066054830627,0.025074227889690624,0.020271056209504198,0.015277694463577603,0.01351375904018869,0.016401829698952756,0.026726768173142363,0.043603810881307374,0.06167742994863737,0.0753420263963349,0.08942134710215999,0.11125047976196248,0.12593795061679688,0.117337836310881,0.09032770389241528,0.062446679792768044,0.04722299333335644,0.041660750401694695,0.0332953125282832,0.02350329987652115,0.017520024320327062,0.016878463967244055,0.020450584615553775,0.026435915825812575,0.03654315346152664,0.05220226947938206,0.06531672945579964,0.06482770397618016,0.0603866950466298,0.05499772994748483,0.047614411241675744,0.03724683967210125,0.024097866838501944,0.01394559794656965,0.008781594907327534,0.007008855870165247,0.0058537216235769575,0.005587567531157882,0.005410031230884718,0.004664822757189963,0.003483590060106688,0.0020602010183192847"	4	3
Mi-2/NuRD-MTA3 complex_41	MTA2#MBD3#HDAC1#MTA3	"0.6914735263071865,0.6203436131674156,0.5313822979572124,0.38157312584031383,0.2772966872882417,0.5426448181539968,0.857231266798304,0.931560605986257,0.9450622940072776,0.9470727235694855,0.954237348099416,0.9658542282105254,0.9735125022764296,0.972697866276885,0.9681588836956093,0.9700613964472571,0.9727295198361879,0.9654453432440925,0.9049766261053839,0.8447113849617539,0.935415436939058,0.9683325316603866,0.9728494748259191,0.9780056249248368,0.9851608833988363,0.9897210885762605,0.9828416615311258,0.9766053636075712,0.9430808741947164,0.7746112952887025,0.5908679497071418,0.5902924122193289,0.6389266032416369,0.6790811574444636,0.24252400300230326,-0.1666666666666666,-0.1666666666666666,-0.16666666666666657,-0.1666666666666665,-0.1666666666666666,-0.16666666666666666,-0.16666666666666666,-0.1666666666666667,-0.1666666666666667,-0.1666666666666667,-0.1666666666666667,-0.16666666666666666,-0.16666666666666666,-0.16666666666666663,-0.16666666666666666,-0.16666666666666666,-0.16666666666666663,-0.16666666666666655,-0.1666666666666664,-0.16666666666666577,-0.16666666666666125,-0.1666666666665922,-0.16666666666403043,-1.4802973661668753e-16,-1.4802973661668753e-16,-1.4802973661668753e-16,-1.4802973661668753e-16,-1.4802973661668753e-16,nan,nan,nan,nan,nan,nan,nan,nan,nan"	0.5	"0.06567780710079439,0.1164199034458515,0.19494484483178118,0.2473404934227428,0.2711787770981185,0.2900069843638424,0.30196034710249625,0.31097228018639717,0.3283318703363725,0.33691934594925793,0.3215591205363077,0.2839407850632151,0.23342500279622092,0.17100870250188457,0.11941793028483416,0.08453175928706345,0.023716688928117513,0.06390335697042672,0.08219244932695569,0.06889477941401283,0.13867849544439723,0.1730074758850079,0.1990192720768846,0.21348247278882118,0.19032686716064548,0.16620731961052496,0.14339903200202528,0.10139252329339936,0.07182473357867432,0.05874241792702431,0.056840197093968904,0.05869812525365157,0.06274933078413795,0.06536206325419885,0.06734417458629798,0.0652021457285914,0.05763401966194052,0.04812863335410952,0.039822207614349535,0.02854416999722248,0.012352212997647745,0.002427862878278217,0.00019011563064059563,5.588649777530241e-06,7.63613440495141e-06,0.00027703609579731966,0.003924345045224307,0.025043160492000564,0.0855819467755855,0.18412258463123246,0.2711901180187956,0.27894815183051547,0.20148830075530944,0.1019007211301401,0.03278990544526524,0.005501095618114003,0.00040214941290471197,1.1342139419132524e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"	5.25	3
AP2 adaptor complex_46	AP2A2#AP2S1#AP2B1#AP2M1	"0.6146742953882359,0.43077165653283833,0.17809515116059682,-0.03560841925566507,0.018179950526384298,0.008889545124612153,0.07394002392266985,0.31279328999315426,0.5800266504015619,0.7473815091263494,0.8294020557207539,0.8821083428989086,0.9292968425776316,0.9634932803346471,0.9485566300015796,0.9228237572565958,0.9225040091734185,0.9320949250738882,0.9393754969699101,0.9253462100446678,0.8636335311687918,0.729785286896354,0.4955290690443566,0.09722904378494579,-0.08251352348261866,0.06583665000586543,0.5100214943197515,0.876690253408139,0.9725060380748979,0.9878228792091184,0.9903396659079253,0.9873482715814849,0.980021989962581,0.971183504569315,0.966291818993216,0.9656962796462549,0.9711804180181401,0.9826571210695924,0.9916845208641623,0.9931048236339821,0.9865594905648506,0.9681223000533348,0.9181809028287118,0.8010696938563369,0.6158047143084245,0.5407217031863439,0.5369007745930642,0.565249569311203,0.606390404238191,0.6254223401788431,0.6148021357803332,0.15099373428629878,0.08584605627421994,0.09207636616889665,0.10354907268970635,0.11969736718580735,0.11023494606402647,0.09907828689797567,0.11047054863076268,0.094625249548912,0.07317777668226841,0.12350010477699651,0.19531393503131286,nan,nan,nan,nan,nan,nan,nan,nan,nan"	0	"0.01492245278722111,0.026040650732157954,0.02974245515474704,0.028375254219842355,0.03267068476746856,0.04445555513712795,0.05657216518219038,0.0707281059935181,0.08014893119002446,0.0887919900352222,0.092600649794495,0.08271580617184492,0.06159504081728745,0.04322839294072365,0.05307520298577198,0.058363758674801876,0.0571164013001283,0.07713655435102434,0.09803139653825603,0.0997153192366748,0.09277158347095989,0.08350139836217409,0.07914064129566338,0.07686745738532029,0.06273793607325838,0.05340642107386908,0.04989767490535563,0.047420533697353405,0.049982359067724504,0.05747040093295547,0.06109028677304345,0.07047285291724785,0.08291676079363273,0.08954908845336033,0.08203630647607829,0.10057111708259692,0.13210433823175946,0.1323217099641163,0.07558072835692618,0.0,0.05947180694035895,0.09694011383911182,0.11821907403095526,0.10424647175227332,0.08881763920952947,0.08451972056307673,0.0890531188336778,0.08928722764821728,0.07330209352443695,0.05746849409529229,0.05650255239125906,0.04773021212351924,0.03384438513041564,0.026497137574310523,0.027497440054910005,0.03015308350426496,0.03221618670158571,0.0266790982804811,0.02129586092682551,0.01941297467231883,0.01953574725611042,0.020755915989254362,0.024944195049977316,0.03202848812247197,0.0388494437744925,0.04164027632190779,0.03919387184531354,0.031156364209611046,0.02728116778914522,0.02211404946975622,0.010053692818947128,0.0"	3.25	3
DNA polymerase alpha-primase complex_47	PRIM1#POLA1#PRIM2#POLA2	"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9262069978102293,0.9208121246648969,0.9228388212656463,0.9233807384783405,0.923103333777207,0.9345200839070348,0.9495349663743742,0.961920322222841,0.9786888040405315,0.9903462876325896,0.9956486246374833,0.9976349085074537,0.9980766914488055,0.9976373037612887,0.9972446688303346,0.996993320006046,0.9960635445318665,0.9957044334835929,0.9965849217590977,0.9972424141638645,0.9967915306832799,0.9945539519669794,0.9881345706349274,0.9703169725675286,0.9347671310143918,0.8971334341837296,0.8722628204402937,0.5497321895073629,0.4322525865891705,0.44188761036383367,0.36535815669846433,0.4483077060955348,0.4031132393582993,0.31774617290150436,0.18945654749490362,0.06629081585191093,-0.00599680068707729,0.02143416817971407,0.15427410859453228,0.23738983856610762,0.26156051057087293,0.26420557857527344,0.2549213777762006,0.07604751653485854,-0.011101078628132421,0.22112645343585471,0.2557900682828658,0.23873399079490398,0.202848232139855,0.19098263553030126,0.5000000000000026,0.5000000000000026,nan,nan,nan,nan,nan,nan,nan,nan,nan"	0	"0.0020080023224228944,0.004459004252864926,0.007535673333308657,0.010264087391887175,0.011374218101173927,0.01036875728144885,0.009171587706389999,0.009557788067036183,0.010394129339194395,0.011006751283172923,0.011352789342008328,0.010663868304038553,0.009199480214359868,0.008305914612022796,0.008592592005979427,0.00922739846001672,0.010196094763519955,0.011483897794383802,0.01219730818542053,0.01439452591687066,0.019835985748112583,0.028169296075444817,0.042940118586453684,0.06217030226656248,0.054939401675625214,0.04041734487320602,0.033788524067624906,0.01978864393190939,0.028444601734118103,0.03619069182844977,0.026026337392379528,0.0,0.021329120287627717,0.04139326133209922,0.03023654075112293,0.029011023442979216,0.062352085677643755,0.08466950434273808,0.08818619134571219,0.06706224312162669,0.04350037287382441,0.03111345015480646,0.02408210915362152,0.018718972329089277,0.01681612111927013,0.02158980564511444,0.03316030844639454,0.04830028631067956,0.059883972715995964,0.06459631259616261,0.07609306453526038,0.08503717977228135,0.08623527887179301,0.08730307230017748,0.09432437821919915,0.10043660338273232,0.08020503423684788,0.03786857337568179,0.016741110434222606,0.010769902193462903,0.008737840758381776,0.00953460770772566,0.011843870322445977,0.013874816216353737,0.011673647248982446,0.0065376245478770125,0.0022483452881941,0.00039134305501780796,2.909191028998516e-05,8.29026318596951e-07,0.0,0.0"	4	3
