ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name syn)	Complex comment	Disease comment	SWISSPROT organism	Subunits comment	subunits(Gene name)	PubMed ID	subunits(Protein name)
1	BCL6-HDAC4 complex	Human	None	None	P41182;P56524	604;9759	MI:0007-anti tag coimmunoprecipitation	GO:0006265;GO:0045892;GO:0051276;GO:0030183;GO:0005634;GO:0016575	DNA topological change;negative regulation of transcription, DNA-templated;chromosome organization;B cell differentiation;nucleus;histone deacetylation	10.01.09.05;11.02.03.04.03;42.10.03;43.03.07.02.01.01;70.10	DNA conformation modification (e.g. chromatin);transcription repression;organization of chromosome structure;B-cell;nucleus	BCL5 LAZ3 ZBTB27 ZNF51;KIAA0288	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.	None	Homo sapiens (Human);Homo sapiens (Human)	None	BCL6;HDAC4	11929873	B-cell lymphoma 6 protein;Histone deacetylase 4
2	BCL6-HDAC5 complex	Human	None	None	P41182;Q9UQL6	604;10014	MI:0007-anti tag coimmunoprecipitation	GO:0006265;GO:0045892;GO:0051276;GO:0030183;GO:0005634;GO:0016575	DNA topological change;negative regulation of transcription, DNA-templated;chromosome organization;B cell differentiation;nucleus;histone deacetylation	10.01.09.05;11.02.03.04.03;42.10.03;43.03.07.02.01.01;70.10	DNA conformation modification (e.g. chromatin);transcription repression;organization of chromosome structure;B-cell;nucleus	BCL5 LAZ3 ZBTB27 ZNF51;KIAA0600	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.	None	Homo sapiens (Human);Homo sapiens (Human)	None	BCL6;HDAC5	11929873	B-cell lymphoma 6 protein;Histone deacetylase 5
3	BCL6-HDAC7 complex	Human	None	None	P41182;Q8WUI4	604;51564	MI:0007-anti tag coimmunoprecipitation	GO:0006265;GO:0045892;GO:0051276;GO:0030183;GO:0005634;GO:0016575	DNA topological change;negative regulation of transcription, DNA-templated;chromosome organization;B cell differentiation;nucleus;histone deacetylation	10.01.09.05;11.02.03.04.03;42.10.03;43.03.07.02.01.01;70.10	DNA conformation modification (e.g. chromatin);transcription repression;organization of chromosome structure;B-cell;nucleus	BCL5 LAZ3 ZBTB27 ZNF51;HDAC7A	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.	None	Homo sapiens (Human);Homo sapiens (Human)	None	BCL6;HDAC7	11929873	B-cell lymphoma 6 protein;Histone deacetylase 7
4	Multisubunit ACTR coactivator complex	Human	None	None	Q09472;Q92793;Q92831;Q9Y6Q9	2033;1387;8850;8202	MI:0004-affinity chromatography technologies;MI:0018-two hybrid	GO:0045893;GO:0023052;GO:0005634	positive regulation of transcription, DNA-templated;signaling;nucleus	11.02.03.04.01;30.01;70.10	transcription activation;cellular signalling;nucleus	P300;CBP;PCAF;AIB1, BHLHE42, RAC3, TRAM1, ACTR	Cofactor ACTR binds directly nuclear receptors and stimulates their transcriptional activities in a hormone-dependent fashion.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	EP300;CREBBP;KAT2B;NCOA3	9267036	Histone acetyltransferase p300;CREB-binding protein;Histone acetyltransferase KAT2B;Nuclear receptor coactivator 3
9	6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex	Mouse	None	None	P30561;P53762	11622;11863	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677;GO:0023052;GO:0009593;GO:0042221;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;signaling;detection of chemical stimulus;response to chemical;nucleus	11.02.03.04;16.03.01;30.01;34.11.03;70.10	transcriptional control;DNA binding;cellular signalling;chemoperception and response;nucleus	;None	Arnt contains a basic helix-loop-helix motif, which may be responsible for interacting with both the XRE (xenobiotic responsive element) and the ligand-binding subunit.	None	Mus musculus (Mouse);Mus musculus (Mouse)	None	Ahr;Arnt	1317062	Aryl hydrocarbon receptor ;Aryl hydrocarbon receptor nuclear translocator
11	BLOC-3 (biogenesis of lysosome-related organelles complex 3)	Human	None	None	Q92902;Q9NQG7	3257;89781	MI:0019- coimmunoprecipitation; MI:0029- cosedimentation through density gradients	GO:0007032;GO:0007040;GO:0007033	endosome organization;lysosome organization;vacuole organization	42.22;42.25	endosome;vacuole or lysosome	HPS;KIAA1667	The results suggest that HPS1 and HPS4 are components of a protein complex that regulates the intracellular localization of lysosomes and late endosomes and may function in a BLOC-1-dependent pathway for melanosome biogenesis.	HPS1-7 are involved in Hermansky-Pudlak syndrome (HPS), which  comprises at least seven different autosomal recessive disorders (referred to as HPS-1 through -7) that share the clinical manifestations of oculocutaneous albinism combined with platelet storage pool deficiency and do not present with the severe immunodeficiency and giant intracellular granules characteristic of Chediak-Higashi syndrome (PMID:15030569).	Homo sapiens (Human);Homo sapiens (Human)	None	HPS1;HPS4	12847290	Hermansky-Pudlak syndrome 1 protein;Hermansky-Pudlak syndrome 4 protein
12	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	Human	None	None	Q86YV9;Q969F9;Q9UPZ3	79803;84343;11234	MI:0019- coimmunoprecipitation; MI:0029- cosedimentation through density gradients; MI:0071- molecular sieving	GO:0007032;GO:0007040;GO:0007033	endosome organization;lysosome organization;vacuole organization	42.22;42.25	endosome;vacuole or lysosome	;;AIBP63 KIAA1017	The results suggest that BLOC-2 is not critical for basal levels of secretion of lysosomal enzymes by fibroblasts.	HPS1-7 are involved in Hermansky-Pudlak syndrome (HPS), which  comprises at least seven different autosomal recessive disorders (referred to as HPS-1 through -7) that share the clinical manifestations of oculocutaneous albinism combined with platelet storage pool deficiency and do not present with the severe immunodeficiency and giant intracellular granules characteristic of Chediak-Higashi syndrome.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	HPS6;HPS3;HPS5	15030569	Hermansky-Pudlak syndrome 6 protein ;Hermansky-Pudlak syndrome 3 protein;Hermansky-Pudlak syndrome 5 protein
13	MUS81-CDS1 complex	Human	None	HeLa cells	Q92903;Q96NY9	1040;80198	MI:0004-affinity chromatography technologies	GO:0006281;GO:0006310	DNA repair;DNA recombination	10.01.05.01;10.01.05.03	DNA repair;DNA recombination	CDS;None	Human Mus81-associated endonuclease resolves Holliday junctions into linear duplexes by cutting across the junction exclusively on strands of like polarity. In addition, Mus81 protein abundance increases in cells following exposure to agents that block DNA replication. Taken together, these findings suggest a role for Mus81 in resolving Holliday junctions that arise when DNA replication is blocked by damage or by nucleotide depletion. Mus81 is not related by sequence to previously characterized Holliday junction resolving enzymes, and it has distinct enzymatic properties that suggest it uses a novel enzymatic strategy to cleave Holliday junctions. Mus81 interacts with the FHA domain of Cds1.	None	Homo sapiens (Human);Homo sapiens (Human)	None	CDS1;MUS81	11741546	Phosphatidate cytidylyltransferase 1;Crossover junction endonuclease MUS81
15	NCOR complex	Human	NCOR1 complex	HeLa cells	O15379;O60907;O75376;Q13227;Q92828;Q9BZK7	8841;6907;9611;2874;7464;79718	MI:0004-affinity chromatography technologies;MI:0019-coimmunoprecipitation;MI:0069-mass spectrometry studies of complexes;MI:0096-pull down	GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276;GO:0005634	DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;nucleus	10.01.09.05;11.02.03.04.03;14.07.04;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;nucleus	None;TBL1;KIAA1047;None;IR10, WDR2;IRA1 TBLR1	Corepressors N-CoR and SMRT participate in diverse repression pathways and exist in large protein complexes including HDAC3, TBL1 and TBLR1. The purified N-CoR complex contains 10-12 associated proteins, including previously identified components and a novel actin-binding protein IR10. It is show that TBL1/TBLR1 associates with N-CoR through two independent interactions: the N-terminal region and the C-terminal WD-40 repeats interact with the N-CoR RD1 and RD4 region, respectively. In vitro, TBL1/TBLR1 bind histones H2B and H4, and, importantly, repression by TBL1/TBLR1 correlates with their interaction with histones. By using specific small interference RNAs (siRNAs), the authors demonstrate that HDAC3 is essential, whereas TBL1 and TBLR1 are functionally redundant but essential for repression by unliganded thyroid hormone receptor.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	HDAC3;TBL1X;NCOR1;GPS2;CORO2A;TBL1XR1	12628926	Histone deacetylase 3;F-box-like/WD repeat-containing protein TBL1X;Nuclear receptor corepressor 1;G protein pathway suppressor 2;Coronin-2A;F-box-like/WD repeat-containing protein TBL1XR1
23	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Human	None	None	O95295;P78537;Q6QNY0;Q6QNY1;Q8TDH9;Q96EV8;Q9NUP1;Q9UL45	23557;2647;388552;282991;63915;84062;55330;26258	MI:0019- coimmunoprecipitation	None	None	None	None	BLOC1S7 SNAP25BP SNAPAP;BLOS1 GCN5L1 RT14;BLOS3;BLOS2 CEAP;MUTED;BLOC1S8;CNO;PA, PLDN	The authors identified Snapin, BLOS1, BLOS2, and BLOS3 as subunits of BLOC-1 and found that the HPS mouse model strain, reduced pigmentation, carries a nonsense mutation in BLOS3. The genes encoding these proteins may underlie the pathogenesis of novel forms of HPS in patients having no detectable mutation in any of the genes that cause HPS types 1-7.	PLDN, MUTED, CNO and DTNBP1 are involved in Hermansky-Pudlak syndrome (HPS), a genetic disorder characterized by hypopigmentation and platelet storage pool deficiency.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	SNAPIN;BLOC1S1;BLOC1S3;BLOC1S2;BLOC1S5;DTNBP1;BLOC1S4;BLOC1S6	15102850	SNARE-associated protein Snapin;Biogenesis of lysosome-related organelles complex 1 subunit 1;Biogenesis of lysosome-related organelles complex 1 subunit 3 ;Biogenesis of lysosome-related organelles complex 1 subunit 2;Biogenesis of lysosome-related organelles complex 1 subunit 5 ;Dysbindin;Biogenesis of lysosome-related organelles complex 1 subunit 4;Biogenesis of lysosome-related organelles complex 1 subunit 6
